"district","rps01","rps02","rps03","rps04","rps05","rps06","rps07","rps08","rps09","rps10","rps11","rps12","rps13","rps14","rps15","rps16","rps17","rps18","rps19","rps20","rps21","rps22","rps23","rps24","rps25","rps26","rps27","rps28","rps29","rps30","rps31"
"三峽區","房地(土地+建物)","新北市三峽區介壽路一段２７６巷８８弄２５之１號四樓","20.2","住","","","1111224","土地1建物1車位0","四層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","830304","119.61","3","2","2","無","有","9000000","75245","","0","0","","RPTNMLSKKHIGFIF98DA","96.4","0","8.65","有"
"三峽區","房地(土地+建物)+車位","新北市三峽區大義路２２９號三樓之三","9.68","商","","","1111227","土地1建物1車位1","三層","十九層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","970807","128.65","2","2","1","無","有","14730000","114497","坡道平面","36.09","0","陽台外推；","RPPNMLKLKHIGFIF87DA","58.04","0","7.38","有"
"三峽區","房地(土地+建物)+車位","新北市三峽區溪東路２１８巷２４弄１號","33.8","","一般農業區","甲種建築用地","1111012","土地1建物1車位1","一層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","830319","127.79","3","2","2","有","無","5500000","43039","坡道平面","0","0","親友、員工、共有人或其他特殊關係間之交易；","RPROMLRKIIHGFIF58DA","83.79","9.8","0","無"
"三峽區","房地(土地+建物)","新北市三峽區民生街２７巷１６號九樓之６","7.23","都市：其他:住宅區","","","1120202","土地2建物1車位0","九層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","850401","66.81","2","1","1","無","有","7500000","112259","","0","0","瑕疵物件；","RPWOMLLLKHIGFIF78DA","40.16","1.22","5.57","有"
"三峽區","土地","十三添一段1588地號","394.01","","一般農業區","甲種建築用地","1120210","土地1建物0車位0","","","其他","","","","0","0","0","0","無","無","8500000","21573","","0","0","","RPPNMLMLKHIGFIF18EA","0","0","0","無"
"三峽區","房地(土地+建物)+車位","新北市三峽區文化路３００、３０２號十一樓","25.44","住","","","1120204","土地1建物1車位1","十一層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","920609","213.09","3","1","1","無","有","8800000","41297","坡道平面","39.53","0","親友、員工、共有人或其他特殊關係間之交易；","RPRNMLNJLHIGFIF38EA","122.76","0.76","18.55","有"
"三峽區","房地(土地+建物)","新北市三峽區復興路４５５號八樓之４","3.44","住","","","1120215","土地1建物1車位0","八層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","841013","38.65","1","0","1","無","有","4460000","115395","","0","0","其他增建:陽台其他增建；","RPPNMLNLKHIGFIF18DA","25.92","0","6.05","有"
"三峽區","房地(土地+建物)","新北市三峽區復興路１６２號七樓之１","5.02","都市：其他:住宅區","","","1120205","土地2建物1車位0","七層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","830510","48.99","1","0","1","無","有","4800000","97979","","0","0","","RPRNMLNLKHIGFIF38DA","33.53","0","5.47","有"
"三峽區","房地(土地+建物)","新北市三峽區復興路１６０巷２弄３號七樓","12.06","都市：其他:住宅區","","","1120206","土地2建物1車位0","七層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","830510","118.57","3","2","2","無","有","11000000","92772","","0","0","陽台外推；瑕疵物件；","RPQNMLLLKHIGFIF08DA","83.49","0","12.23","有"
"三峽區","房地(土地+建物)","新北市三峽區介壽路二段１８３號七樓","45.96","","一般農業區","甲種建築用地","1120207","土地2建物1車位0","七層","九層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","1111025","145.02","3","2","2","無","有","15200000","104813","","0","0","","RPVNMLMJLHIGFIF58DA","89.92","0","9.12","有"
"三峽區","房地(土地+建物)","新北市三峽區二鬮路１３６巷２４弄７１號十二樓之四","29.92","","山坡地保育區","丙種建築用地","1120201","土地3建物1車位0","十二層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","830927","61.53","2","1","1","無","有","3020000","49082","","0","0","","RPVNMLOLKHIGFIF88DA","45.47","1.24","5.61","有"
"三峽區","房地(土地+建物)+車位","新北市三峽區溪東路７５號四樓","47.5","","鄉村區","乙種建築用地","1120212","土地1建物1車位1","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","820219","164.53","4","2","2","無","有","5900000","35860","坡道平面","0","0","停車位係屬約定專用 停車位編號為B1-24號","RPVOMLLJLHIGFIF58DA","115.66","1.91","11.67","無"
"三峽區","房地(土地+建物)","新北市三峽區大仁路３２號七樓之１","12.31","住","","","1120215","土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","820805","66.8","2","1","1","無","有","5000000","74850","","0","0","","RPPNMLMJLHIGFIF08EA","52.33","0","0","有"
"三峽區","房地(土地+建物)+車位","新北市三峽區學成路３３５號十五樓","20.57","商","","","1120202","土地1建物1車位1","十五層","二十八層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1010724","215.45","4","2","2","無","有","26000000","120678","坡道平面","40.5","0","","RPTNMLMJLHIGFIF38DA","106.78","2.68","13.35","有"
"三峽區","房地(土地+建物)","新北市三峽區二鬮路１３６巷１１９號八樓","49.87","","山坡地保育區","丙種建築用地","1120207","土地3建物1車位0","八層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","830927","110.33","3","2","2","無","有","6000000","54382","","0","0","陽台外推；","RPQNMLNLKHIGFIF28DA","79.68","2.84","9.88","有"
"三峽區","房地(土地+建物)","新北市三峽區大觀路３０９號七樓","19.59","住","","","1120203","土地1建物1車位0","七層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","950127","132.09","3","2","2","無","有","15800000","119615","","0","0","陽台外推；","RPRNMLQJLHIGFIF68EA","86.24","1.15","13.25","有"
